,model_pth,epoch,top1acc,top5acc,loss,val_images_blurred,val_blur_sigma
64,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch50.pth.tar,50,70.742,90.224,1.1725,0,0
65,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch51.pth.tar,51,70.364,90.054,1.1855,0,0
66,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch52.pth.tar,52,70.33,89.976,1.19,0,0
67,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch53.pth.tar,53,70.594,90.128,1.1846,0,0
68,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch54.pth.tar,54,70.14,90.078,1.193,0,0
69,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch55.pth.tar,55,70.402,90.126,1.1801,0,0
70,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch56.pth.tar,56,70.238,90.086,1.1854,0,0
71,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch57.pth.tar,57,70.64,90.196,1.1686,0,0
72,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch58.pth.tar,58,70.796,90.144,1.1806,0,0
73,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch59.pth.tar,59,70.272,90.088,1.1892,0,0
74,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch60.pth.tar,60,70.706,90.266,1.1757,0,0
75,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch61.pth.tar,61,74.744,92.408,0.99736,0,0
76,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch62.pth.tar,62,74.984,92.542,0.98268,0,0
77,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch63.pth.tar,63,75.328,92.68,0.97431,0,0
78,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch64.pth.tar,64,75.394,92.794,0.96719,0,0
79,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch65.pth.tar,65,75.662,92.914,0.96166,0,0
80,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch66.pth.tar,66,75.638,92.83,0.96076,0,0
81,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch67.pth.tar,67,75.616,92.882,0.96079,0,0
82,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch68.pth.tar,68,75.718,92.81,0.95843,0,0
83,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch69.pth.tar,69,75.776,92.866,0.95787,0,0
84,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch70.pth.tar,70,75.716,92.88,0.9536,0,0
85,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch71.pth.tar,71,75.696,92.922,0.95726,0,0
86,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch72.pth.tar,72,75.884,92.91,0.94939,0,0
87,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch73.pth.tar,73,75.76,92.92,0.95492,0,0
88,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch74.pth.tar,74,75.978,92.914,0.9512,0,0
89,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch75.pth.tar,75,75.89,92.936,0.9496,0,0
90,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch76.pth.tar,76,75.94,92.9,0.95295,0,0
91,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch77.pth.tar,77,75.944,93.014,0.94755,0,0
92,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch78.pth.tar,78,76.004,92.964,0.95028,0,0
93,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch79.pth.tar,79,75.946,92.942,0.94515,0,0
